# ID,H_Eisenberg,uH_Eisenberg,H_GRAVY,uH_GRAVY,Z3_1,Z3_2,Z3_3, Z5_1,Z5_2,Z5_3, Z5_4,Z5_5,S_AASI, uS_AASI, modlas_ABHPRK, H_argos, uH_argos, B_Builkiness, uB_Builkiness, charge_phys, charge_acid, Ez, flexibility, u_flexibility, Grantham, H_HoppWoods, uH-HoppWoods, ISAECI, H_Janin, uH_Janin, H_KyteDoolittle, uH_KyteDoolittle, F_Levitt, uF_Levitt, MSS_shape, u_MSS_shape, MSW, pepArc, pepcats, polarity, u_polarity, PPCALI, refractivity, u_refractivity, t_scale, TM_tend, u_TM_tend,Length,BomanIndex,Aromaticity,AliphaticIndex,InstabilityIndex, NetCharge, MW, IsoelectricPoint, HydrophobicRatio
AP00001,0.7529172320217097,0.22522436667114104,0.6648316428490632,0.27963399101731623,0.14771347418448003,0.4026404736989319,0.14043933494847696,0.17954196306129047,0.2948204408403852,0.14977663514698103,0.12497161623493645,0.2209938770623331,0.6916428991157036,0.12229431511292578,0.0,0.3731832430891992,0.2206736775693398,0.19525238033129008,0.03574770355718892,0.3130434782608696,0.3130434782608696,0.25544849280087595,0.585870582307637,0.4119267237821783,0.09902997165332714,0.6021897810218978,0.2507402182753495,0.14684604423548656,0.6939751448897461,0.3195445794516737,0.6661531209400188,0.26711342713659714,0.6166117129847694,0.015449227397186453,0.1828130084439615,0.05468934642085894,0.06819202534643118,1.0,0.3333333333333333,0.6207233626588468,0.2462228903840623,0.47011000183953927,0.07336281675330643,0.052128073475953475,0.12352319182062652,0.525188645346748,0.3038612308397985,0.3229166666666667,0.2264483695284944,0.030303030303030307,0.33781603012372247,0.1991159134765797,0.21965349069059356,0.2617902938991724,0.7534955125177137,0.6868686868686869
AP00002,0.7091856892010535,0.11949502580742459,0.49928025959450567,0.1593898973887898,0.21556983756466716,0.36695992657812265,0.24633898389152428,0.27658531081153875,0.23054124258200834,0.25311499670782306,0.07304444474389196,0.5193227871593347,0.16744952750136802,0.06389727599068062,0.5,0.26765627881246545,0.10385924583252774,0.41978226010633773,0.0619108967358846,0.3360613810741688,0.3360613810741688,0.5814944726979581,0.7623305854408271,0.1440368183265501,0.1684886328565945,0.5125053671103478,0.06250280686438967,0.3249705712804762,0.6439454231741404,0.13655313235313257,0.4958078843020705,0.14916175090814937,-0.10484608351112416,0.023996806296820813,0.4086273379703153,0.07352243301435488,0.374197536734985,1.0,0.3333333333333333,0.5271527966025121,0.08449059024244797,0.2780550900244509,0.21324422622465425,0.07245636565735876,0.1219630633273566,0.48970006975122055,0.1155590753744829,0.3333333333333333,0.2910964593954127,0.17647058823529413,0.14201183431952666,0.44524483692795047,0.24651739282731117,0.3271400916887385,0.7984411903637223,0.27450980392156865
AP00003,0.6670398009950249,0.08444374000578254,0.543896032075211,0.13417442816862252,0.15961596634864855,0.34781579788540407,0.4048062150666742,0.22956652485860374,0.2322593107800232,0.38128620835191046,0.17664085482965317,0.4895922265822493,0.6835225182616004,0.0940945264392528,0.5,0.24608150470219436,0.11273621936405887,0.19243849301238106,0.037552492422159384,0.2746376811594203,0.31768115942028985,0.45606475406737806,0.6437494501627519,0.14877354061164103,0.15151214278856334,0.5681265206812652,0.1512771405933249,0.11217406156877455,0.7108272901107624,0.15933714862556034,0.5412925256102189,0.1294477580026626,0.29678756476683943,0.029197229234847927,0.4290197420012985,0.059853517305893236,0.2200964100721578,1.0,0.6666666666666666,0.595067417648063,0.18255953150974075,0.2604117224625787,0.26759046399242403,0.04623782348865004,0.26164494066864447,0.4532718489240228,0.15801051015852863,0.5416666666666666,0.34168277092314553,0.1111111111111111,0.09598948060486523,0.3585468299348764,0.1897448333468057,0.5213061893650067,0.5133207368918281,0.4197530864197531
AP00004,0.6490785866585441,0.04024827220756911,0.5086550588713296,0.09376363233652982,0.21075164953688458,0.368816473722122,0.40767120006854946,0.2789108252201502,0.28530437120741914,0.382483398948768,0.23669270856362393,0.5828170203357541,0.6957323998494244,0.05974005200554311,0.5,0.2603800140745953,0.04969739989297178,0.20870787339325958,0.08690403764684378,0.2611357586512866,0.3085714285714286,0.48488058293735914,0.5701197343545494,0.16197169086929622,0.1904083600757846,0.5520259198569939,0.015428772241708105,0.10799872942671261,0.7206363441577519,0.08698078053112095,0.5040638235817915,0.09178348229427745,0.3630242148672941,0.09702922009518307,0.4791088096950848,0.0800085844557235,0.2519976462695021,1.0,0.6666666666666666,0.6179817549139474,0.16439499361191823,0.24730247652033613,0.3119282884756653,0.12445407980941976,0.32420700385693496,0.4602081148664999,0.02363424495309319,0.4895833333333333,0.3737406066931009,0.12244897959183673,0.07825141891075958,0.22936766144658707,0.16288093121008812,0.4899382489101646,0.4901511572980633,0.40816326530612246
AP00005,0.7716088674275681,0.3678036949458921,0.6683582599360773,0.5932924229260852,0.3780003256822157,0.21337174050488877,0.16129334879958218,0.3992605244407594,0.1763349542407857,0.19456438045892996,0.13787110006330067,0.24255754847924343,0.6220776029156737,0.09718191682406996,0.5,0.36916835699797157,0.39764651198865847,0.43634483922693895,0.12410197385510684,0.23731457800511507,0.2601023017902813,0.5729183640215089,0.615341623585301,0.33026245567723,0.23277571886779783,0.5472842421640189,0.319457900279539,0.2936695554446765,0.7258870644263767,0.38496955321039805,0.67015823655882,0.585247104169954,0.44669308137762903,0.07810202048533366,0.4543185760016557,0.022166138671083885,0.20845816095233563,1.0,0.3333333333333333,0.5762175838077168,0.4924705513030871,0.41951566896492526,0.18627029549749513,0.035552263096866814,0.3175141871047335,0.5517089049058358,0.5125003352784494,0.3333333333333333,0.2478510655042454,0.08823529411764706,0.4176818656456666,0.22020964575527235,0.13997790531619647,0.3151256405831464,0.4898441190363722,0.6666666666666666
AP00006,0.6110074626865672,0.05577943573932956,0.42554956449605974,0.10603045212433897,0.16977026673816267,0.24823392856481705,0.33591160767987494,0.28310479723404336,0.17332761107678518,0.3663292441395753,0.13778001028548192,0.5629304822503767,0.11307740816648294,0.1455002323508573,0.5,0.18312434691745036,0.06214638836751717,0.438267176789415,0.05319179086797257,0.3830434782608696,0.4260869565217391,0.5396316275453172,0.8436262866191608,0.1402649693762659,0.1692840353779775,0.5739051094890512,0.09384457162157744,0.2575420681325316,0.597034311072627,0.09118371959086828,0.4231693436195777,0.10522939738881225,-0.1573287276914216,0.07973949089659352,0.4855191712673664,0.07260454386464948,0.3757896943022246,1.0,0.3333333333333333,0.6094896740058032,0.10888867900773931,0.17243518589199816,0.21366051773555347,0.07497452075302048,0.13622575425800873,0.41093544137022386,0.13579790743341305,0.16666666666666666,0.4099895941727367,0.05555555555555555,0.21104536489151873,0.346020115070296,0.22075822488076954,0.16112776398028164,0.8905054322153991,0.2222222222222222
AP00007,0.6054104477611941,0.048065034484670706,0.41974284529240985,0.09545691932170622,0.16353875926958103,0.2400815836144115,0.3353588256599764,0.29382525942531457,0.16833060835794622,0.36227660472863576,0.1368614928300623,0.5746544105675593,0.10129276367649377,0.13562933396280538,0.5,0.22309299895506793,0.12972215257524325,0.438267176789415,0.05319179086797257,0.3830434782608696,0.4260869565217391,0.5450745978519703,0.8188836104513065,0.2138862032513395,0.16913657798579101,0.5739051094890512,0.09384457162157744,0.25964204342694,0.5898906808096116,0.08465673612684525,0.4155811306437335,0.09206177970845081,-0.11325273459988454,0.1074913404850052,0.4742841109021415,0.06817523985706134,0.37938261624599534,1.0,0.3333333333333333,0.6063321385902034,0.11457735487789283,0.1516538585185092,0.21319536572398742,0.07440657819367763,0.13107664184620554,0.40895915678524375,0.13134357966382315,0.16666666666666666,0.4099895941727367,0.05555555555555555,0.21104536489151873,0.346020115070296,0.22075822488076954,0.16112776398028164,0.8905054322153991,0.2222222222222222
AP00008,0.6412313432835821,0.47734328332295345,0.7897138116963915,0.5133003411397123,0.31602483013831084,0.2594287666008864,0.672129308090171,0.45274518503832567,0.2686818061006465,0.7558468965791176,0.10208368407930679,0.38557207073608246,0.47609569604288177,0.09083761104131917,0.5,0.4294670846394984,0.17422219739924152,0.6153156384505021,0.0914339905973861,0.5073913043478261,0.5073913043478261,0.42649560188560015,0.6428147268408553,0.7940605871603312,0.3944957104644614,0.5597627737226277,0.3537039854184543,0.3344793982815887,0.7720532525165061,0.48880757894906224,0.7992917667889213,0.47780627762275957,0.3268393782383424,0.14138194770562632,0.6000532113895122,0.09265599343274378,0.3363873169855385,1.0,0.6666666666666666,0.3342293906810036,0.4341508617038771,0.2849415717636141,0.4180948286558119,0.12917467163413224,0.35658967975777145,0.6225296442687747,0.32533924291015415,0.10416666666666667,0.3795153857588821,0.0,0.6035502958579883,0.18252959013988065,0.23835313771454747,0.10274372172242772,0.8724137931034482,0.8888888888888888
AP00009,0.6716504685872963,0.1304981522443038,0.5274275848099312,0.18873651841304218,0.27758622408884337,0.14602231823159004,0.4251692302532439,0.38127757710611493,0.11998738741732728,0.45035640889908096,0.0614897962366741,0.632926488148939,-0.35107553098269795,0.054488551143075735,0.5,0.35106072756433615,0.12254776071998445,0.5755480297621035,0.06466611514196537,0.4149646107178969,0.4149646107178969,0.7669298867215705,0.8201679279677403,0.17770031253135876,0.21023192441567232,0.5541928365303005,0.13196840717473315,0.4993478872888776,0.6286898058533467,0.11581334656405785,0.5263984517692596,0.18666422317027595,-0.24442462947342994,0.07021697969455723,0.5119358352298135,0.05464238274471715,0.4429132748021282,1.0,0.3333333333333333,0.4388954381452508,0.13810808025554233,0.27972493458172293,0.27104343196624986,0.050561898683384905,0.06776225307627831,0.4822869749057818,0.17779522437494075,0.4270833333333333,0.34485464684143385,0.16279069767441862,0.1932021466905188,0.598663875905572,0.381294964028777,0.44623040734710423,0.9709494567784601,0.372093023255814
AP00010,0.5746268656716419,0.2986364330524962,0.4435503940273746,0.3280595150222242,0.2055177173040705,0.2199058372918757,0.5116113100851365,0.35942760416882485,0.1463080514680925,0.5331476833035003,0.0863873394733428,0.6218685810114256,-0.31767696673498347,0.06488960727920064,0.5,0.3221003134796238,0.19692699140030373,0.49769846963175507,0.037235273526250175,0.478695652173913,0.478695652173913,0.6806434368469647,0.9010292953285829,0.1461834198290033,0.1749449246640183,0.6331204379562044,0.20960762910142378,0.3886038595624364,0.553198398095032,0.27125630567029496,0.44059693942076655,0.31795209889352555,-0.234127806563039,0.03403155113372921,0.4263005824182494,0.01425619875445372,0.3994071678792778,1.0,0.3333333333333333,0.5255504352278545,0.20570013272556673,0.20040610004098966,0.23538976174277867,0.03503354308322572,0.017900427674212623,0.3934387351778656,0.2618971349428456,0.6041666666666666,0.43124721272484023,0.05,0.20769230769230773,0.4338505864672351,0.5969067442675073,0.6221131553081177,1.0347189418989136,0.26666666666666666
